epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.703,1.31462,2.25862,1.14043,0.85138,0.80606,0.83716,0.58367,1.11153,1.31715,1.06112,0.000664141,0.000664141,0.000664141
2,172.884,1.29056,1.34878,1.10523,0.87494,0.79397,0.87191,0.58944,1.18223,1.01179,1.10747,0.00131763,0.00131763,0.00131763
3,286.17,1.28439,1.10666,1.11048,0.89589,0.8995,0.92087,0.62767,1.15009,0.82489,1.11426,0.00195792,0.00195792,0.00195792
