epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2529.66,0.82471,0.48354,0.93319,0.95973,0.95799,0.96297,0.74971,0.86024,0.46159,0.99857,0.0011882,0.0011882,0.0011882
43,2587.44,0.81573,0.47832,0.9258,0.96902,0.94293,0.95934,0.7444,0.85482,0.46494,0.99457,0.0011684,0.0011684,0.0011684
44,2645.03,0.80556,0.47684,0.92393,0.96758,0.95477,0.96294,0.74932,0.88341,0.44741,0.99651,0.0011486,0.0011486,0.0011486
45,2701.56,0.80386,0.4698,0.91964,0.9695,0.95827,0.96371,0.75311,0.85808,0.44028,0.99552,0.0011288,0.0011288,0.0011288
46,2758.8,0.80721,0.47638,0.92705,0.9634,0.95477,0.96151,0.74639,0.86478,0.43011,1.00124,0.001109,0.001109,0.001109
47,2815.24,0.81223,0.47537,0.93135,0.94857,0.95477,0.95548,0.74726,0.86046,0.448,0.99826,0.0010892,0.0010892,0.0010892
48,2871.34,0.78831,0.45243,0.91924,0.96223,0.95477,0.96055,0.75033,0.84842,0.44817,0.98882,0.0010694,0.0010694,0.0010694
49,2927.52,0.79056,0.46017,0.92461,0.96936,0.95376,0.96356,0.74176,0.89794,0.44522,1.0091,0.0010496,0.0010496,0.0010496
50,2984.25,0.79356,0.46139,0.92161,0.96425,0.94975,0.96254,0.74524,0.87825,0.43593,1.02386,0.0010298,0.0010298,0.0010298
51,3040.94,0.80035,0.45851,0.92124,0.96864,0.94975,0.96192,0.74546,0.88932,0.44755,1.01554,0.00101,0.00101,0.00101
52,3097.6,0.79183,0.46033,0.92006,0.964,0.95477,0.96683,0.75978,0.85819,0.42176,0.99851,0.0009902,0.0009902,0.0009902
53,3154.13,0.75973,0.44201,0.91037,0.97446,0.95848,0.9667,0.75765,0.87022,0.4323,1.0018,0.0009704,0.0009704,0.0009704
54,3212.34,0.76349,0.43983,0.91358,0.95039,0.9598,0.96575,0.75279,0.86769,0.44115,1.02686,0.0009506,0.0009506,0.0009506
55,3268.89,0.7509,0.43714,0.90518,0.96439,0.9598,0.96602,0.7596,0.8544,0.42293,0.99644,0.0009308,0.0009308,0.0009308
56,3325.23,0.76854,0.44065,0.91446,0.96196,0.95477,0.96818,0.76295,0.8735,0.42455,1.00122,0.000911,0.000911,0.000911
57,3381.41,0.74738,0.42907,0.90672,0.9709,0.9397,0.96404,0.75496,0.87193,0.43676,1.00191,0.0008912,0.0008912,0.0008912
58,3437.7,0.74979,0.42804,0.90614,0.97937,0.95419,0.96774,0.76669,0.85027,0.41792,0.9976,0.0008714,0.0008714,0.0008714
59,3494.02,0.7534,0.41912,0.90921,0.95744,0.9598,0.96238,0.76716,0.8474,0.42376,0.99568,0.0008516,0.0008516,0.0008516
